iter	Passed	Remaining
225	4313	14771
226	4327	14734
227	4343	14705
228	4357	14671
229	4374	14643
230	4390	14617
231	4407	14588
232	4422	14558
233	4443	14545
234	4457	14511
235	4473	14481
236	4490	14456
237	4506	14429
238	4521	14396
239	4538	14373
240	4556	14349
241	4570	14316
242	4589	14297
243	4605	14268
244	4619	14235
245	4637	14213
246	4653	14187
247	4669	14159
248	4686	14133
249	4702	14107
250	4718	14080
251	4736	14058
252	4746	14013
253	4764	13992
254	4782	13971
255	4800	13951
256	4818	13930
257	4835	13907
258	4854	13888
259	4873	13871
260	4890	13846
261	4905	13817
262	4920	13789
263	4938	13767
264	4953	13738
265	4966	13705
266	4983	13680
267	4998	13652
268	5016	13630
269	5032	13605
270	5047	13579
271	5062	13550
272	5082	13533
273	5095	13502
274	5111	13475
275	5127	13451
276	5144	13426
277	5161	13405
278	5178	13383
279	5194	13356
280	5210	13333
281	5227	13308
282	5243	13284
283	5259	13259
284	5277	13238
285	5293	13214
286	5309	13190
287	5327	13170
288	5342	13144
289	5358	13117
290	5377	13102
291	5393	13078
292	5408	13049
293	5425	13028
294	5441	13003
295	5457	12979
296	5473	12956
297	5490	12933
298	5506	12909
299	5523	12887
300	5533	12851
301	5552	12833
302	5569	12812
303	5588	12795
304	5605	12774
305	5622	12751
306	5639	12729
307	5655	12706
308	5671	12683
309	5687	12660
310	5704	12637
311	5721	12616
312	5738	12594
313	5753	12570
314	5770	12547
315	5786	12525
316	5802	12502
317	5819	12481
318	5836	12459
319	5852	12436
320	5869	12415
321	5887	12396
322	5903	12374
323	5921	12354
324	5935	12327
325	5952	12307
326	5969	12285
327	5985	12262
328	6001	12239
329	6019	12220
330	6035	12198
331	6051	12176
332	6068	12155
333	6084	12133
334	6099	12107
335	6117	12088
336	6134	12068
337	6148	12041
338	6165	12021
339	6184	12005
340	6200	11982
341	6215	11959
342	6232	11937
343	6247	11914
344	6265	11894
345	6280	11871
346	6297	11850
347	6315	11832
348	6331	11810
349	6350	11793
350	6366	11771
351	6381	11748
352	6397	11725
353	6413	11704
354	6430	11683
355	6446	11662
356	6462	11639
357	6479	11619
358	6494	11596
359	6513	11579
360	6529	11557
361	6545	11536
362	6561	11514
363	6580	11497
364	6595	11474
365	6612	11454
366	6627	11431
367	6641	11406
368	6659	11387
369	6674	11363
370	6690	11343
371	6707	11322
372	6723	11302
373	6740	11282
374	6757	11263
375	6773	11241
376	6789	11220
377	6806	11200
378	6822	11179
379	6839	11158
380	6858	11142
381	6874	11122
382	6892	11103
383	6907	11081
384	6923	11059
385	6937	11036
386	6954	11016
387	6971	10996
388	6987	10974
389	7004	10955
390	7022	10937
391	7036	10914
392	7053	10894
393	7071	10876
394	7087	10854
395	7103	10834
396	7119	10814
397	7135	10792
398	7151	10772
399	7169	10753
400	7189	10739
401	7203	10715
402	7220	10695
