inscribed_circle_radius,wings_body_ratio,central_rgb_variation,ID,bug_type,species
160.17802595861892,1.1951807016159306,52.493783220210986,72,Hover fly,Eristalis
157.8923684032892,4.610885263704361,45.80928896284342,73,Hover fly,Eristalis
137.17871555019022,5.887320636501312,56.21552165767971,74,Hover fly,Eristalis
28.460498941515414,43.90527246200218,62.69871892895744,75,Bee,Macropis fulvipes ?
186.0,1.954110064076831,43.84132519125939,76,Hover fly,Eristalis
0.0,0.0,65.23827361501326,77,Bee,Macropis fulvipes ?
34.0,127.11807706153881,47.16683229572781,78,Wasp,Vespula germanica
4.242640687119285,5427.386063448104,39.75138392499782,79,Wasp,Vespula germanica
35.22782990761707,77.22266669596962,53.305909282896295,80,Wasp,Vespula germanica
83.15046602394962,16.270866459789882,42.993898082547965,81,Wasp,Vespula germanica
17.46424919657298,1007.0133111771177,68.34433418487748,82,Dragonfly,Aeshnidae
670.9135562797937,2.1814992684748464,38.880212638324544,83,Butterfly,Papilio machaon
170.41713528867922,1.6415051452933909,67.98993374526687,84,Bumblebee,Bombus hortorum
307.59226258148954,3.263366843978818,42.64894381399207,85,Bumblebee,Bombus hortorum x2
209.95475703112803,3.4013286583153595,42.000466709742945,86,Bumblebee,Bombus hortorum
183.17477992343814,4.791868140342977,62.510980877510264,87,Bumblebee,Bombus hortorum
235.64592082189753,4.956268198909021,67.4426730698684,88,Bumblebee,Bombus hortorum x2
220.43593173527768,2.118876147725586,39.75900523787089,89,Bumblebee,Bombus hortorum
126.03570922560003,8.48641610563681,35.53090099603344,90,Bumblebee,Bombus pascuorum
317.52165280497013,1.9894861316223267,52.212374832512374,91,Bumblebee,Bombus hortorum
327.6049450176233,1.4231886914394827,54.272125835052975,92,Bumblebee,Bombus hortorum
360.76030823803217,1.277231012279734,44.36309580547948,93,Bumblebee,Bombus hortorum
300.10831378020833,2.4202806356878397,63.645824189155114,94,Bumblebee,Bombus hortorum
276.81221071332817,1.8819829021652381,54.83847185638365,95,Bumblebee,Bombus hortorum
304.1792234851026,2.014780791138872,60.89449855081106,96,Bumblebee,Bombus hortorum
323.0,1.8298334372514886,56.723314597312445,97,Bumblebee,Bombus hortorum
218.44907873461037,3.22973271811046,57.55092153923249,98,Bumblebee,Bombus hortorum
317.57361351346555,1.754319635859377,32.3292810835237,99,Bumblebee,Bombus hortorum
231.4584195919431,2.6135447583617326,30.791218867175274,100,Bumblebee,Bombus hortorum
282.46238687655386,1.4621709549232826,52.8805962319939,101,Bumblebee,Bombus hortorum
175.54771431152272,5.607483992334455,45.96765557811374,102,Bumblebee,Bombus hortorum
292.15920317525513,1.5261477106792007,43.42676588019645,103,Bumblebee,Bombus hortorum
156.42570121306792,6.782480936255063,71.49096850681933,104,Bumblebee,Bombus hortorum
261.8854711510358,1.641103228621077,69.4785229480965,105,Bumblebee,Bombus hortorum
269.58486604407153,2.3174200626398846,42.9863897612673,106,Bumblebee,Bombus hortorum
249.77790134437433,1.6496623291148302,52.780010606022245,107,Bumblebee,Bombus hortorum
218.3437656540713,1.4527634884618996,44.39185687519739,108,Bumblebee,Bombus hortorum
269.40861159213154,2.436506528354927,49.76027490208407,109,Bumblebee,Bombus hortorum
234.0683660813652,2.024234411085742,35.511891871178584,110,Bumblebee,Bombus hortorum
226.3647499059869,2.2333913393177367,57.45212653183722,111,Bumblebee,Bombus hortorum
376.0,1.397005651800781,53.663328219568164,112,Bumblebee,Bombus hortorum
358.8927416373867,0.7079859437402596,43.20223634409795,113,Bumblebee,Bombus hortorum
175.0114281982751,3.6220561722554856,42.82123164152037,114,Bumblebee,Bombus hortorum
171.35343591536179,2.7930934356336135,44.82205218924441,115,Bumblebee,Bombus hortorum
300.30817504690077,1.4555021462283961,20.8831317718734,116,Bumblebee,Bombus hortorum
351.0270644836378,1.1969220325084216,29.434071569617444,117,Bumblebee,Bombus hortorum
238.8723508487326,3.988126784247945,37.30939585682048,118,Bumblebee,Bombus hortorum
104.0,9.96332704144556,52.65149192225321,119,Bumblebee,Bombus hortorum
157.4102919125684,7.7520316792883515,37.53286298722741,120,Bumblebee,Bombus hortorum
180.71247881648904,3.306204371698803,43.413538232135714,121,Bumblebee,Bombus hortorum
262.5147614897113,2.0072602940994098,40.699854702680746,122,Bumblebee,Bombus hortorum
220.16584657934573,3.770274839820207,73.75664886970686,123,Bumblebee,Bombus hortorum
276.0235497199469,2.274440250248783,44.14201051993828,124,Bumblebee,Bombus hortorum
228.47319317591726,4.690386808808169,59.33868789366102,125,Bumblebee,Bombus hortorum
290.9295447354909,2.68683629112399,54.081055466659535,126,Bumblebee,Bombus hortorum
297.22886804615734,1.7818579818198033,42.93198130064226,127,Bumblebee,Bombus hortorum
235.93431289238112,4.816702166270889,39.32568841712762,128,Bumblebee,Bombus hortorum
230.31283073246266,3.3594544401972817,52.034177326053396,129,Bumblebee,Bombus hortorum
139.31618714277246,6.9424130444612295,42.55363954960982,130,Bumblebee,Bombus hortorum
283.3513719747974,2.143888957812925,57.86692612412883,131,Bumblebee,Bombus hortorum
167.50522379914005,7.394960951146094,51.29081380744975,132,Bumblebee,Bombus hortorum
242.46443038103547,4.053741344062882,53.76268044397892,133,Bumblebee,Bombus hortorum
179.3599732381782,8.209436219624976,48.67505199586023,134,Bumblebee,Bombus hortorum
191.5097908724251,3.1717376380121896,60.684802469461914,135,Bumblebee,Bombus hortorum
345.45332535669706,1.2840197346076763,43.22177329929311,136,Bumblebee,Bombus hortorum
218.50629281556172,2.457307378305376,63.046370569627236,137,Bumblebee,Bombus hortorum
237.0759372015642,2.985627149742436,53.93799993242434,138,Bumblebee,Bombus hortorum
214.15881957089695,3.0431476889306497,39.595402315319184,139,Bumblebee,Bombus pascuorum
258.00193797721755,1.5000607905867365,38.97886472698921,140,Bumblebee,Bombus pascuorum
154.9322432549145,5.5050240108970305,59.21946905425426,141,Bumblebee,Bombus pascuorum
176.58992043715293,3.5535543941312544,55.23347518108127,142,Bumblebee,Bombus pascuorum
104.89041900955492,4.928601193178646,55.21396461038199,143,Bumblebee,Bombus pascuorum
158.91192529196795,1.6410405580542875,49.776784848110715,144,Bumblebee,Bombus pascuorum
166.5172663719892,1.188736339068368,52.33703128961148,145,Bumblebee,Bombus pascuorum
218.82641522448793,3.3199873073686854,57.21816817028153,146,Bumblebee,Bombus pascuorum
227.75864418282788,2.1769258320830995,38.02120013030715,147,Bumblebee,Bombus pascuorum
318.76009787926716,1.1660065480670154,26.981407208416716,148,Bumblebee,Bombus pascuorum
180.27756377319946,2.579370184760866,44.5828946841875,149,Bumblebee,Bombus pascuorum
187.48066566982314,2.626227808628576,62.9544109535884,150,Bumblebee,Bombus pascuorum
204.47493733951845,1.5866694240592814,45.21632770960665,151,Bumblebee,Bombus pascuorum
209.28927349484493,4.113305827023264,41.02362516583683,152,Bumblebee,Bombus pascuorum
147.0,10.774991076371226,43.76777142050933,153,Bumblebee,Bombus pascuorum
137.41906709041507,2.1945441283449396,83.08855848469271,155,Butterfly,Pieris rapae
166.02710622064097,3.2773619898865984,43.19361596360679,156,Bumblebee,Bombus pascuorum
253.49161721840034,3.493000168029172,57.96201260938417,157,Bee,Megachile centuncularis
181.60396471443016,3.1958705806651886,46.93954908602004,158,Bee,Megachile centuncularis
194.0,3.488697148855437,43.36699006915226,159,Bee,Megachile centuncularis
258.7682360723588,2.7262949369314025,57.66516873395762,160,Bee,Megachile centuncularis
211.5490486861144,2.597827062260017,44.66312300517774,161,Bee,Apis mellifera
173.69225659193907,3.46027388960355,44.62371602081554,162,Bee,Apis mellifera
267.52943763257156,1.8325941890604138,32.59082330941798,163,Bee,Apis mellifera
259.6247291765559,2.871045837720534,42.017552595173385,164,Bee,Megachile centuncularis
73.824115301167,16.382873681754962,41.8615038136887,165,Bee,Anthidium
138.70832707519762,4.379503253197577,46.039404564416486,166,Bee,Anthidium
137.87675656179326,5.382121590154551,44.471377492050294,167,Bee,Anthidium
231.22499864850255,1.7446034024306574,40.31197744625671,168,Bumblebee,Bombus pascuorum
145.12063946937388,7.980147626627833,49.51734931265161,169,Bumblebee,Bombus pascuorum
117.18361660232202,6.25008020766024,56.978114225415396,170,Hover fly,Eristalis
277.34635386101615,1.117680858606835,60.0010405481581,171,Bumblebee,Bombus hortorum
256.3201123595259,1.4287916397703186,40.7352528233787,172,Bumblebee,Bombus pascuorum
87.32124598286491,11.922796941238087,39.09867776693386,173,Bee,Apis mellifera
133.2816566523691,8.65213268305981,43.14633980357425,174,Bee,Apis mellifera
229.12005586591496,3.3909192248823334,59.246159925239986,175,Hover fly,Eristalis
204.47493733951845,4.05076556020756,53.1384185394629,176,Hover fly,Eristalis
110.43550153822818,14.089861729693142,46.3455399093776,177,Bumblebee,Bombus hortorum
252.42028444639706,2.2159260051318,35.76151759404405,178,Bumblebee,Bombus pascuorum
229.78685776170926,1.4379865508988758,76.47512439471573,179,Bumblebee,Bombus hortorum
